source_name,source_url,dest_name,dest_url
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2001 год,https://ru.wikipedia.org/wiki/2001_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2003 год,https://ru.wikipedia.org/wiki/2003_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2005 год,https://ru.wikipedia.org/wiki/2005_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2008 год,https://ru.wikipedia.org/wiki/2008_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2009 год,https://ru.wikipedia.org/wiki/2009_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2010 год,https://ru.wikipedia.org/wiki/2010_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2015 год,https://ru.wikipedia.org/wiki/2015_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,2016 год,https://ru.wikipedia.org/wiki/2016_%D0%B3%D0%BE%D0%B4
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Brick Like Me,https://ru.wikipedia.org/wiki/Brick_Like_Me
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,DC Comics,https://ru.wikipedia.org/wiki/DC_Comics
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,LEGO,https://ru.wikipedia.org/wiki/Lego
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego,https://ru.wikipedia.org/wiki/Lego
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego-анимация,https://ru.wikipedia.org/wiki/Lego-%D0%B0%D0%BD%D0%B8%D0%BC%D0%B0%D1%86%D0%B8%D1%8F
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego: Legends of Chima,https://ru.wikipedia.org/wiki/Lego:_Legends_of_Chima
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego: Приключения Клатча Пауэрса,https://ru.wikipedia.org/wiki/Lego:_%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9A%D0%BB%D0%B0%D1%82%D1%87%D0%B0_%D0%9F%D0%B0%D1%83%D1%8D%D1%80%D1%81%D0%B0
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego Dimensions,https://ru.wikipedia.org/wiki/Lego_Dimensions
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego Worlds,https://ru.wikipedia.org/wiki/Lego_Worlds
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego Бэтмен: В осаде,https://ru.wikipedia.org/wiki/Lego_%D0%91%D1%8D%D1%82%D0%BC%D0%B5%D0%BD:_%D0%92_%D0%BE%D1%81%D0%B0%D0%B4%D0%B5
Бионикл,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%BE%D0%BD%D0%B8%D0%BA%D0%BB,Lego Бэтмен: Супергерои DC объединяются,https://ru.wikipedia.org/wiki/Lego_%D0%91%D1%8D%D1%82%D0%BC%D0%B5%D0%BD:_%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%B3%D0%B5%D1%80%D0%BE%D0%B8_DC_%D0%BE%D0%B1%D1%8A%D0%B5%D0%B4%D0%B8%D0%BD%D1%8F%D1%8E%D1%82%D1%81%D1%8F
